app_id,tag
4880,Strategy
4890,Real-Time Strategy
4890,Strategy
4900,Puzzle
4920,Action
4920,Adventure
4920,FPS
4920,Real-Time Strategy
4920,Shooter
4920,Strategy
4920,Tactical
6000,Action
6000,Adventure
6000,FPS
6000,Shooter
6000,Strategy
6000,Tactical
6010,Action
6010,Action-Adventure
6010,Adventure
6010,Point & Click
6010,Puzzle
6020,Action
6020,Adventure
6020,FPS
6020,Fighting
6020,Hack and Slash
6020,RPG
6020,Shooter
6020,Swordplay
6020,Third-Person Shooter
6030,Action
6030,Adventure
6030,FPS
6030,Shooter
6030,Swordplay
6030,Third-Person Shooter
6040,Adventure
6040,Point & Click
6040,Puzzle
6060,Action
6060,Adventure
6060,FPS
6060,Shooter
6060,Strategy
6060,Tactical
6060,Third-Person Shooter
6080,Action
6080,Adventure
6080,Building
6080,Dating Sim
6080,Management
6080,Racing
6080,Simulation
6080,Strategy
6090,Action
6090,Shooter
6090,Third-Person Shooter
6120,Action
6120,Adventure
6120,Beat 'em up
6120,Hack and Slash
6120,Platformer
6120,Side Scroller
6200,Management
6200,Puzzle
6200,Sandbox
6200,Simulation
6200,Strategy
6200,Tactical
6210,Management
6210,Simulation
6210,Strategy
6220,Action
6220,Arcade
6220,Automobile Sim
6220,Combat Racing
6220,Driving
6220,Racing
6220,Vehicular Combat
6250,Action
6250,Grand Strategy
6250,Strategy
6250,Turn-Based
6250,Turn-Based Strategy
6270,Bikes
6270,Motorbike
6270,Racing
6270,Simulation
6300,Action
6300,Adventure
6300,Escape Room
6300,Puzzle
6300,RPG
6310,Adventure
6310,Point & Click
6310,Puzzle
6370,Action
6370,MOBA
6370,RPG
6400,Action
6400,Real-Time Strategy
6400,Strategy
6420,Real-Time Strategy
6420,Real-Time Tactics
6420,Simulation
6420,Strategy
6420,Tactical
6510,Action
6510,Adventure
6510,Mechs
6510,Shooter
6510,Third-Person Shooter
6550,Action
6550,Adventure
6550,Beat 'em up
6550,Character Action Game
6550,Hack and Slash
6550,Spectacle fighter
6600,Arcade
6600,Bullet Hell
6600,Shoot 'Em Up
6600,Twin Stick Shooter
6800,Action
6800,Real-Time Strategy
6800,Real-Time Tactics
6800,Stealth
6800,Strategy
6800,Tactical
6810,Action
6810,Real-Time Strategy
6810,Real-Time Tactics
6810,Stealth
6810,Strategy
6810,Tactical
6830,Action
6830,Real-Time Strategy
6830,Real-Time Tactics
6830,Stealth
6830,Strategy
6830,Tactical
6840,Action
6840,Real-Time Strategy
6840,Real-Time Tactics
6840,Stealth
6840,Strategy
6840,Tactical
6850,Action
6850,Adventure
6850,FPS
6850,Sandbox
6850,Shooter
6850,Stealth
6850,Tactical
6850,Third-Person Shooter
6860,Action
6860,Puzzle
6860,Sandbox
6860,Shooter
6860,Simulation
6860,Stealth
6860,Strategy
6860,Third-Person Shooter
6870,Action
6870,Flight
6870,Naval Combat
6870,Real-Time Strategy
6870,Simulation
6870,Strategy
6880,Action
6880,Action RPG
6880,Adventure
6880,Sandbox
6880,Shooter
6880,Third-Person Shooter
6900,Action
6900,Adventure
6900,Sandbox
6900,Shooter
6900,Stealth
6900,Strategy
6900,Tactical
6900,Third-Person Shooter
6910,Action
6910,Action RPG
6910,Dystopian
6910,FPS
6910,Immersive Sim
6910,Inventory Management
6910,RPG
6910,Shooter
6910,Stealth
6920,Action
6920,Action RPG
6920,Adventure
6920,Dystopian
6920,FPS
6920,Immersive Sim
6920,RPG
6920,Shooter
6920,Stealth
6980,Action
